tick,total_infected,total_recovered,total_dead,total_healthy,hot_region_infected,cold_region_infected,moderate_region_infected,airport_usage,port_usage,num_isolated_countries,num_affected_countries,most_affected_country,most_deaths_country,hot_region_transmission_rate,cold_region_transmission_rate,moderate_region_transmission_rate,cross_border_infections,within_country_infections
88,953,409,54,10064,460,235,258,0,880,0,53,Ethiopia,Indonesia,0.07061713233036537,0.11709018435475835,0.0871916187901318,19,934
89,957,430,57,10036,449,238,270,0,884,0,53,Ethiopia,Philippines,0.06892846177463924,0.11858495266567015,0.09124704291990537,17,940
90,971,453,57,9999,442,245,284,0,890,0,54,Ethiopia,Indonesia,0.06785385323917716,0.12207274539113104,0.09597837107130787,16,955
91,961,481,63,9975,428,248,285,0,894,0,57,Ethiopia,Philippines,0.06570463616825299,0.12356751370204284,0.09631632308212233,15,946
92,957,505,64,9954,420,253,284,0,904,0,57,Ethiopia,Indonesia,0.0644765121277249,0.1260587942202292,0.09597837107130787,15,942
93,948,529,66,9937,411,255,282,0,910,0,57,Ethiopia,Indonesia,0.0630948725821308,0.12705530642750373,0.09530246704967894,15,933
94,939,556,70,9915,405,257,277,0,915,0,58,Ethiopia,Indonesia,0.062173779551734726,0.12805181863477827,0.09361270699560663,11,928
95,947,571,73,9889,405,262,280,0,919,0,58,Ethiopia,Indonesia,0.062173779551734726,0.13054309915296464,0.09462656302805002,12,935
96,950,600,75,9855,411,265,274,0,928,0,58,Ethiopia,Indonesia,0.0630948725821308,0.13203786746387644,0.09259885096316323,10,940
97,957,629,78,9816,418,263,276,0,938,0,59,Ethiopia,Indonesia,0.06416948111759288,0.1310413552566019,0.09327475498479217,10,947
98,967,652,80,9781,426,264,277,0,943,0,59,Ethiopia,Indonesia,0.06539760515812097,0.13153961136023917,0.09361270699560663,12,955
99,967,678,82,9753,424,261,282,0,955,0,58,Ethiopia,Indonesia,0.06509057414798895,0.13004484304932734,0.09530246704967894,14,953
100,964,701,90,9725,424,264,276,0,960,0,58,Ethiopia,Indonesia,0.06509057414798895,0.13153961136023917,0.09327475498479217,14,950
101,959,731,91,9699,430,265,264,0,965,0,58,Ethiopia,Indonesia,0.06601166717838501,0.13203786746387644,0.08921933085501858,12,947
102,946,762,97,9675,428,267,251,0,973,0,59,Ethiopia,Indonesia,0.06570463616825299,0.13303437967115098,0.08482595471443055,9,937
103,936,795,103,9646,430,259,247,0,980,0,58,Ethiopia,Indonesia,0.06601166717838501,0.1290483308420528,0.0834741466711727,11,925
104,910,830,109,9631,417,247,246,0,986,0,58,Ethiopia,Indonesia,0.06401596561252687,0.12306925759840558,0.08313619466035822,11,899
105,919,849,113,9599,424,254,241,0,986,0,59,Ethiopia,Indonesia,0.06509057414798895,0.12655705032386647,0.08144643460628591,9,910
106,902,885,114,9579,415,257,230,0,991,0,58,Ethiopia,Indonesia,0.06370893460239484,0.12805181863477827,0.0777289624873268,7,895
107,895,904,115,9566,413,257,225,0,994,0,58,Ethiopia,Indonesia,0.06340190359226282,0.12805181863477827,0.07603920243325447,6,889
